,instance_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
556,ins_416583644,M3_2_6,j_1274904,1,Terminated,386335,386573,m_1367,1,1,90.0,141.0,0.13,0.16
565,ins_55157946,M3_2_6,j_1274904,1,Terminated,386335,386498,m_2759,1,1,92.0,211.0,0.13,0.16
599,ins_9835183,M3_2_6,j_1274904,1,Terminated,386335,386582,m_59,1,1,86.0,128.0,0.13,0.16
606,ins_1036552398,M3_2_6,j_1274904,1,Terminated,386335,386538,m_2783,1,1,100.0,169.0,0.13,0.16
607,ins_416583322,M3_2_6,j_1274904,1,Terminated,386335,386558,m_3877,1,1,93.0,155.0,0.13,0.16
613,ins_647113898,M3_2_6,j_1274904,1,Terminated,386335,386579,m_1194,1,1,88.0,136.0,0.13,0.16
615,ins_724515408,M3_2_6,j_1274904,1,Terminated,386335,386583,m_258,1,1,87.0,149.0,0.13,0.16
617,ins_9834454,M3_2_6,j_1274904,1,Terminated,386335,386619,m_1413,1,1,77.0,123.0,0.13,0.16
620,ins_77669228,M3_2_6,j_1274904,1,Terminated,386335,386584,m_752,1,1,89.0,164.0,0.14,0.16
621,ins_335223488,M3_2_6,j_1274904,1,Terminated,386335,386574,m_3957,1,1,89.0,157.0,0.13,0.16
631,ins_615274586,M3_2_6,j_1274904,1,Terminated,386335,386572,m_1433,1,1,90.0,156.0,0.13,0.15
635,ins_990905319,M3_2_6,j_1274904,1,Terminated,386335,386558,m_1099,1,1,97.0,137.0,0.13,0.16
642,ins_91290107,M3_2_6,j_1274904,1,Terminated,386335,386591,m_3919,1,1,90.0,176.0,0.14,0.16
644,ins_1036544479,M3_2_6,j_1274904,1,Terminated,386335,386623,m_722,1,1,75.0,162.0,0.13,0.16
648,ins_253883347,M3_2_6,j_1274904,1,Terminated,386335,386541,m_2279,1,1,89.0,134.0,0.13,0.16
649,ins_497919777,M3_2_6,j_1274904,1,Terminated,386335,386701,m_2463,1,1,64.0,110.0,0.13,0.16
657,ins_615274507,M3_2_6,j_1274904,1,Terminated,386335,386576,m_264,1,1,89.0,159.0,0.13,0.16
659,ins_416583581,M3_2_6,j_1274904,1,Terminated,386336,386606,m_2505,1,1,79.0,180.0,0.13,0.16
661,ins_1117898849,M3_2_6,j_1274904,1,Terminated,386335,386564,m_1534,1,1,92.0,152.0,0.13,0.16
674,ins_416583712,M3_2_6,j_1274904,1,Terminated,386335,386593,m_2072,1,1,84.0,143.0,0.13,0.16
677,ins_416583252,M3_2_6,j_1274904,1,Terminated,386335,386571,m_494,1,1,91.0,129.0,0.13,0.16
682,ins_240374877,M3_2_6,j_1274904,1,Terminated,386335,386570,m_1795,1,1,89.0,155.0,0.13,0.16
683,ins_55158033,M3_2_6,j_1274904,1,Terminated,386334,386491,m_1190,1,1,94.0,167.0,0.13,0.16
698,ins_497919637,M3_2_6,j_1274904,1,Terminated,386335,386582,m_2165,1,1,86.0,128.0,0.13,0.16
